Name,State,upto,Address,telephone/Mobile no.,Principal name
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2015 
","PARANGARA KISHORI NAGAR PANCHAYAT, DY EDU OFFICE, NORTH ANDAMAN,744206","03192,279034","
Head/Principal Name:SRI G VIJAYAN
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","BENGALI  TERESSA ISLAND VIA ABERDEEN BAZAR PORT BLAIR A & N ISLANDS,744104","3193,263225","
Head/Principal Name:SUCIFAITH
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","DISTT JUNGLIGHAT PT BLAIR SOUTH ANDAMANS,744103","3192,232255","
Head/Principal Name:SILPI RAO
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","NAMUNAGHAR SOUTH ANDAMAN A&N ISLAND,744206","0319,223630","
Head/Principal Name:LIDIA BAGE
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2018 
","DELANIPUR HADDO PO PT BLAIR A & N ISLANDS,744102","0319,241199","
Head/Principal Name:CHAYA RANI SAMANTA
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","SHOAL BAY-12 SOUTH ANDEMAN A & N ISLANDS,744206","3192,281842","
Head/Principal Name:MANIMALA HALDER
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2007 
","MILDERA II KATCHAL PORT BLAIR A & N ISLANDS ,",",","
Head/Principal Name:K VALLU
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2017 
","UTTARA KADAMTALA MIDDLE ANDEMAN,744209","03192,50041","
Head/Principal Name:SMT ASHA KUMARI
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2010 
","JIRKATANG 2 SOUTH ANADAMAN PORT BLAIR,744206","3192,281574","
Head/Principal Name:RAM NARAYAN TIWARI
"
GOVT SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2015 
","SUBHASHGRAM DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744206","3192,271030","
Head/Principal Name:SAFIA BIBI 
"
GOVT SEC SCHOOL (TAMIL & ENGLISH),ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2014 
","HADDO POST PT BLAIR A & N ISLANDS,744102","03192,32286","
Head/Principal Name:jawahar lal maurya(h.m)
"
GOVT SECONDARY  SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2017 
","KAUSHALYA NAGAR  RANGAT MIDDLE ANDAMAN,744205","3192,215946","
Head/Principal Name:H K ARYA
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2014 
","WEBI  MAYABUNDER P.O NORTH ANDAMAN A & N ISLANDS,744204","03192,276662","
Head/Principal Name:Mr. SHRI JITENDRA GUPTA
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","VILLAGE MANPUR  P.O.TUSHNABAD SOUTH ANDAMAN A & N ISLANDS,744103","03192,282618","
Head/Principal Name:MR P K CHATTOPADHYAYA
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2008 
","CHAINPUR P.O PUDUMADURAI MAYABUNDER VIA MIDDLE ANDAMAN A & N ISLANDS,744204","3192,9474282282","
Head/Principal Name:Mohammed Rafiqu
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","HARMANDER BAY LITTLE ANDAMAN A & N ISLANDS,744207","03192,282618","
Head/Principal Name:r p baghel
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2023 
","ADAZIG (PO) ALKATCHA BARATANG ISLAND SOUTH ANDAMAN A & N ISLANDS,744210","08301,43326","
Head/Principal Name:mr a ummar
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2007 
","KAKANA CAR NICOBAR A & N ISLANDS ,744301",",","
Head/Principal Name:BENDINUS
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","RAM NAGAR POST DIGILIPUR VIA  NTH ANDAMAN A & N ISLANDS,744202","0319,217755","
Head/Principal Name:USHA KUMAR PALADUGU
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2013 
","MILETILAK VIA WIMBERLYGUNJ SOUTH ANDAMAN A & N ISLANDS,744206","03192,281576","
Head/Principal Name:Mr. MRN.K.TYAGI
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2018 
","NIMBUTALA (VILL & PO) MIDDLE ANDAMAN A & N ISLANDS,744205","3192,215184","
Head/Principal Name:ABDUL SALIM
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","SHIVAPURAM VILLAGE BETAPUR POST MIDDLE ANDAMAN A & N ISLANDS,744201","3192,270092","
Head/Principal Name:NATARAJAN
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","VIVEKANANDAPUR VIA HUTBAY LITTLE ANDAMAN A & N ISLANDS,744207","03192,282618","
Head/Principal Name:ashutosh mahanta
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2023 
","MANGLUTAN P.O:- HUMPHREY GUNJ SOUTH ANDAMAN A & N ISLANDS,744101","3192,287311","
Head/Principal Name:R DEV DAS
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2020 
","MUS CAR-NICOBAR A & N ISLANDS,744301","03193,67223","
Head/Principal Name:SH C APOLUS
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","DAIRY FARM  P.O JUNGLIGHAT PT BLAIR A & N ISLANDS,744103","3192,231059","
Head/Principal Name:ANU RAJU
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","GOVINDAPUR P O NIMBUDERA VIA-BETAPUR MIDDLE  ANDAMAN A & N ISLANDS,744201","3192,276067","
Head/Principal Name:Sudhansu Kumar Roy
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","GANDHI NAGAR CAMPBELL BAY GREAT NICOBAR A & N ISLANDS,744302","3193,264240","
Head/Principal Name:SOBHA ROY
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2015 
","ARONG ANDAMAN & NICOBAR ISLAND,744202","03193,265037","
Head/Principal Name:c. a. polus
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2015 
","DURGAPUR DIGLIPUR NTH ANDAMAN ANDAMAN & NICOBAR ISLAND,744206","0319,2272212","
Head/Principal Name:VIBHA SETHI
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2009 
","WESTBAY KATCHAL KATCHAL ISLANDS ANDAMAN & NICOBAR ISLANDS,744304",",","
Head/Principal Name:SH ALI
"
GOVT SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2015 
","KARMATANG NO 10 MAYABUNDER P.O A & N ISLANDS,744204","0,0","
Head/Principal Name:SWAPNA DAS
"
GOVT SENI SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","LAXMANPUR  NEIL KENDRA P.O. NEIL ISLAND SOUTH ANDAMAN A & N ISLANDS,744104","03192,282618","
Head/Principal Name:mr. d. subbu lakshmi
"
GOVT SENIOR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2020 
","MANNARGHAT   WIMBERLYGUNJ P.O SOUTH  ANDAMAN A & N ISLANDS,744206","3192,255937","
Head/Principal Name:GIRIJA RANI KR
"
GOVT SENIOR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2020 
","RANGA CHANG   BIMLITON P.O VIA JUNGLIGHAT SOUTH ANDAMAN A & N ISLANDS,744103","3192,281002","
Head/Principal Name:INDIRA DEVI
"
GOVT SENIOR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","HUT_BAY P.O LITTLE  ANDAMAN A & N ISLANDS,744207","03192,84351","
Head/Principal Name:m p singh
"
GOVT SENIOR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","MALACCA CAR-NICOBAR A & N ISLANDS,744301","03193,5275","
Head/Principal Name:MRS CHRISTINE SAMUEL RUFUS
"
GOVT SENIOR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2013 
","ORALKATCHA BARATANG ISLAND MIDDLE ANDAMAN A & N ISLANDS,744210","03192,77064","
Head/Principal Name:AMJAD HUSSAIN
"
GOVT SR  SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","RANGAT MIDDLE ANDAMAN MIDDLE  ANDAMAN,744205","3192,274242","
Head/Principal Name:RITA BANERJEE
"
GOVT SR  SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","KALIGHAT P.O NTH ANDAMAN A & N ISLANDS,744204","3192,278023","
Head/Principal Name:USHA KUMAR PALADUGU
"
GOVT SR  SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","MAYABUNDER NORTH ANDAMAN A & N ISLANDS,744204","3192,273216","
Head/Principal Name:SULOCHANA
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2020 
","HAVELOCK P O HAVELOCK-3 SOUTH ANDAMAN A & N ISLANDS,744211","0319,2282382","
Head/Principal Name:P C MONDAL
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2014 
","KADAMTALA VILLAGE & P O MIDDLE  ANDAMAN A & N ISLANDS,744209","3192,267064","
Head/Principal Name:SUNITA CHAKRABORTY
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2017 
","BAKULTALA P O BAKULTALA MIDDLE  ANDAMAN A & N ISLANDS,744208","3192,277536","
Head/Principal Name:HARISH CHANDRA RAI
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2005 
","SAWAI CAR-NICOBAR A & N ISLANDS ,744301",",","
Head/Principal Name:S R SINGH
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","RAMKRISHNAPUR  POST VIA HUTBAY LITTLE ANDAMAN A & N ISLANDS,744207","03192,88039","
Head/Principal Name:g c chakrabty
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","LAPATHY CAR-NICOBAR A & N ISLANDS,744301",",","
Head/Principal Name:SH H NATHANIEL
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","CAMPBELL BAY GREAT NICOBAR A & N ISLANDS,744302","3193,264240","
Head/Principal Name:LATA SINGH
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","SCHOOL LINE   JUNGLIGHAT P.O PT BLAIR SOUTH ANDAMAN A & N ISLANDS,744103","3192,232836","
Head/Principal Name:VT REDDY
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","VIJAY NAGAR   CAMPBELL BAY GREAT NICOBAR A & N ISLANDS,744302","3193,9434298502","
Head/Principal Name:RITA TEWARI
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","MOHANPURA PORT BLAIR A & N ISLANDS,744101","3192,233847","
Head/Principal Name:RITA RANI BISWAS
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2007 
","KAPANGA  KATCHAL ISLANDS NICOBAR DISTRICT A & N ISLANDS ,744304",",","
Head/Principal Name:MR M P SINGH
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2020 
","PT MOUT  P.O CHOULDARI SOUTH ANDAMAN A & N ISLANDS,744103","3192,289443","
Head/Principal Name:ARCHANA SINGH
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","LONG ISLAND POST MIDDLE ANDAMAN A & N ISLANDS,744203","03192,78516","
Head/Principal Name:T N SINGH
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","CHAMPIN NANCOWRIE P.O. A & N ISLANDS,744303",",33204","
Head/Principal Name:SH NATHANIEL
"
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","GARACHARAMA SOUTH ANDAMAN A & N ISLANDS,744101","3192,250337","
Head/Principal Name:ANAND KUMARI
"
GOVT SR SEC SCHOOL (HINDI MEDIUM),ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","HADDO POST PT BLAIR A & N ISLANDS,744102","03192,34838","
Head/Principal Name:mr s r singh
"
GOVT SR SEC SCHOOL (TELUGU MEDIUM),ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2014 
","HADDO POST PT BLAIR A & N ISLANDS,744102","03192,232671","
Head/Principal Name:mr. mananjan ghosh
"
GOVT SR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","DIGLIPUR NTH   ANDAMAN A & N ISLANDS,744202","3192,272224","
Head/Principal Name:S GURUMOORTHY
"
GOVT SR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","SWADESH NAGAR P.O. MIDDLE  ANDAMAN A & N ISLANDS,744201","0319,270781","
Head/Principal Name:SURESH CHANDRA MAZUMDER
"
GOVT SR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","PAHALGAON P O TOGAPUR VIA MAYABUNDER MIDDLE  ANDAMAN A & N ISLANDS,744204","3192,276671","
Head/Principal Name:APARNA CHAKRABORTY
"
GOVT SR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","TUSNABAD PORT BLAIR  SOUTH ANDAMAN A & N ISLANDS,744103","3192,","
Head/Principal Name:P ABDUL REHMAN
"
GOVT SR SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2014 
","SABRI JN. MIDDLE MIDDLE ANDAMAN,744205","3192,274205","
Head/Principal Name:LOCHAN SINGH
"
GOVT SR. SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","WIMBERLYGUNJ P.O SOUTH  ANDAMAN A & N ISLANDS,744206","3192,255254","
Head/Principal Name:RITA TIWARI
"
GOVT SR. SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2026 
","BAMBOOFLAT P.O SOUTH ANDAMAN A & N ISLANDS,744107","3192,255752","
Head/Principal Name:RENU KALA
"
GOVT SR.SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2023 
","BATHUBASTI POST  GARACHARAMA POST VIA PORT BLAIR SOUTH ANDAMAN A & N ISLANDS,744101","0319,3192252199","
Head/Principal Name:VARGHESE CHACKO
"
GOVT. DEMONSTRATION MULTI PURPOSE,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","SCHOOL MIDDLE POINT PT BLAIR A & N ISLANDS,744101","03192,34730","
Head/Principal Name:n r khan
"
GOVT. MODEL SEC. SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2018 
","KAMORTA, NANCOWRY, DISTT. NICOBAR, A & N ISLAND,744303",",03192272071","
Head/Principal Name:K. SANKARAN
"
GOVT. MODEL SR. SEC. SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","SITA NAGAR, DIGLIPUR, NTH & MIDDLE ANDAMAN,744202","0319,2271044","
Head/Principal Name:ASHOK KUMAR TIWARI
"
GOVT. SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","KUITASUKH, CHOWRA, ISLAND, NANCOWRY, A & N ISLAND,","03193,263225","
Head/Principal Name:SH. K SANKARAN
"
GOVT. SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","PASCHIM SAGAR  DIGLIPUR NORTH ANDAMAN A & N ISLANDS,744202","03192,272148","
Head/Principal Name:Mr. DEEPAK KUMAR PAUL
"
GOVT. SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2024 
","KERALAPURAM DIGLIPUR AERIAL BAY PO NTH ANDAMAN A & N ISLANDS,744202","0,0","
Head/Principal Name:B V R REDDY
"
GOVT. SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","P.O. CALICUT PT BLAIR SOUTH ANDAMANS,744103","3192,260041","
Head/Principal Name:BHAGIRATH ROY
"
GOVT. SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2007 
","PILPILLOW NANCOWRIE A & N ISLANDS ,744303",",","
Head/Principal Name:AMJAD HUSSAIN
"
GOVT. SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","LAXMIPUR NTH ANDAMAN A & N ISLANDS,744202","3192,271390","
Head/Principal Name:MOHD HANEEFA
"
GOVT. SECONDARY SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","SOUTH POINT SHADIPUR POST PTBLAIR A & N ISLANDS,744106","3192,229361","
Head/Principal Name:SHYAMAL MAZUMDAR
"
INVENT PUBLIC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2026 
","INVENT PUBLIC SCHOOL, SIPPIGHAT VILLAGE, PORT BLAIR, SOUTH ANDAMAN,744105",",03192260261","
Head/Principal Name:Mrs. URSULA MINJ
"
IQRA PUBLIC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2023 
","WIMBERLY GUNJ SOUTH ANDAMAN FERRAR GUNJ SOUTH ANDAMAN,744206","3192,255375","
Head/Principal Name:Mohan Kumar Das
"
JAWAHAR NAVODAYA VIDYALAYA,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2019 
","PANCHAWATI  RANGAT P.O DISTT NORTH & MIDDLE ANDAMAN A & N ISLANDS,744205","3192,279092","
Head/Principal Name:P RAMACHANDRAN
"
JAWAHAR NAVODAYA VIDYALAYA,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","ARONG CAR NICOBAR PO NICOBAR DISTT A & N ISLANDS 744301 A & N ISLANDS,744301","0,3192292804","
Head/Principal Name:SACHIN D KHARAT
"
"JAWAHAR NAVODAYA VIDYALAYA CHOULDARI, SOUTH ANDAMAN",ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","JAWAHAR NAVODAYA VIDYALAYA, VILLAGE CHOULDARI, PORTMOUT, SOUTH ANDAMAN DISTRICT, ANDAMAN & NICOBAR ISLANDS.PIN: 744103,744103",",03192289088","
Head/Principal Name:MRS. SREELATHA N P
"
KAMARAJ ENG MED SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2024 
","ABERDEEN BAZAR P B NO 157 PORT BLAIR A & N ISLANDS,","3192,261526","
Head/Principal Name:V S BEENA
"
KENDRIYA VIDYALAYA NO.2,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2021 
","RAKSHA VIHAR MINNIE BAY PORT BLAIR A & N ISLANDS,744103","3192,225093","
Head/Principal Name:VIJAY KUMAR
"
KENDRIYA VIDYALAYA NO.I,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","NEAR ABERDEEN BAZAR PORT BLAIR A & N ISLANDS,744101","3192,232411","
Head/Principal Name:C RAJI
"
KHALSA PUBLIC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","GURUDWARA DR.DIWAN SINGH COMPLEX, PORT BLAIR. ANDAMAN,744101","3192,242839","
Head/Principal Name:SARABJEET KAUR JAGPAL
"
M E S SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2024 
","AZAD NAGAR  STEWART GUNJ BAMBOOFLAT SOUTH ANDAMAN,744107","3192,255336,","
Head/Principal Name:MRS. J SHABNAM
"
"M.E.S. SCHOOL, SALAH NAGAR, OGRABRAJ",ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2024 
","OGRABRAJ,744103","3192,255270","
Head/Principal Name:PUNAM DUNG DUNG
"
MAHATMA GANDHI INTERNATIONAL SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","BROOKSHABAD POST BOX 474 JANGLIGHAT PORT BLAIR-474,744107","0319,262333","
Head/Principal Name:Augustina barla
"
NAVY CHILDREN SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","MINNIE BAY PORT BLAIR PO JUNGLIGHAT ANDAMAN & NICOBAR ISLANDS,744103","03192,200827","
Head/Principal Name:Mrs. ANITA DEVI
"
NIRMALA SR SEC SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2024 
","HADDO POST PORT BLAIR A & N ISLANDS,744102","3192,232915","
Head/Principal Name:CAROLINE MATHEW
"
R.G.T. PUBLIC VIDYALAYA,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","R.G.T.  ROAD,744101",",03192238652","
Head/Principal Name:Mr.S V UVRAJ
"
SAGRITARA SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2020 
","PREM NAGAR, P.O. HADDO,744102","3192,232515","
Head/Principal Name:PREETY KUJUR
"
SARASWATI SHISHU MANDIR,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2025 
","PATHER GUDDA GARACHARMA PORT BLAIR ANDAMAN NICOBAR ISLAND,110085","03192,250331","
Head/Principal Name:SURAJ PRAKASH
"
ST. MARYS SCHOOL,ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2024 
","ST. MARYS SCHOOLBATHUBASTIP.O GARACHARMAPORT BLAIRSOUTH ANDAMANPIN-744105,744105","0319,03192-251834","
Head/Principal Name:MRS. ACHAMMA KURIAKOSE
"
"ST. XAVIER SCHOOL,(ENGLISH MEDIUM MIDDLE SCHOOL)",ANDAMAN & NICOBAR,"
Affiliated up to: 31/03/2022 
","MANNARGHAT, FERRARGUNJ SOUTH ANDAMAN,744206","3192,255510","
Head/Principal Name:Milan Thomas Aruj
"
